firm,date,amount,party,ideology_score
Heritage Automotive,2023-06-07,3470.67,D,-0.3113024235082412
Heritage Automotive,2022-11-13,1762.21,D,-0.3113024235082412
Aurora Networks,2012-07-05,541.86,D,-0.5046547262203107
UrbanStar Retail,2015-09-18,1159.05,D,0.02898247316376057
Orbit Semiconductor,2020-12-21,3105.63,R,0.3656188092303535
Atlas Health,2018-11-10,2089.66,R,-0.3304489338964671
AmeriCore Energy,2019-02-25,808.88,R,0.7811810347855594
Vanguard Networks,2020-03-05,294.54,D,-0.7441456161534608
Crescent Automotive,2010-01-05,1967.96,D,-0.7791419463933508
Infinity Partners,2013-03-28,1103.31,D,-0.2896112414347556
Arclight Manufacturing,2019-02-09,2237.1,R,-0.6856182543666501
Brightline Capital,2014-04-14,1159.55,D,-0.7954508682253574
Pioneer Energy,2011-08-08,804.9,R,0.11750752865586686
Harbor Retail Group,2018-01-07,2798.68,R,0.18917697133120992
NorthStar Retail Group,2018-09-12,1539.89,D,-0.21768137947876254
Evercrest Systems,2020-09-24,889.63,D,-0.6911643501317529
Zenith Industries,2010-09-16,371.83,D,-0.3067997146495536
MetroTech Solutions,2022-02-02,2216.79,R,-0.28918774931432745
Horizon Capital,2017-11-15,1990.91,R,-0.5446174747209411
Titan Aerospace,2020-08-26,934.36,R,0.30257157452147504
Skyline Retail,2015-06-01,882.85,D,-0.22364750236744266
United Semiconductor,2020-02-14,487.74,D,0.7031948302175441
Ironwood Aerospace,2010-08-20,1549.17,R,0.23918635548065395
Orbit Semiconductor,2022-01-06,588.79,R,0.3656188092303535
TerraLine Logistics,2021-08-04,783.76,D,-0.7679229314410365
MetroTech Solutions,2010-11-23,738.15,R,-0.28918774931432745
Riverstone Technologies,2011-09-22,828.05,D,-0.23339868032552136
BlueRiver Manufacturing,2024-08-31,670.57,D,-0.7814248212212955
Infinity Partners,2015-01-05,886.98,R,-0.2896112414347556
Heritage Automotive,2019-12-22,1336.86,D,-0.3113024235082412
Paramount Systems,2019-10-29,3739.87,D,-0.6533450784599586
MetroTech Solutions,2024-03-28,1210.44,D,-0.28918774931432745
NovaBridge Partners,2022-07-02,1049.57,R,-0.5350259359541526
Vanguard Networks,2024-11-28,540.08,D,-0.7441456161534608
Cypress Health,2013-01-31,1109.08,D,-0.1277995867856065
Atlas Health,2014-05-29,595.38,R,-0.3304489338964671
Highland Logistics,2020-09-19,1242.13,D,-0.20675394355677812
Harbor Retail Group,2012-08-07,1718.24,D,0.18917697133120992
Quantum Systems,2018-10-06,658.06,R,-0.41357155810874113
Apex Systems,2021-10-07,1110.31,D,-0.3524012410794814
NorthStar Retail Group,2013-01-27,1155.87,R,-0.21768137947876254
Greenfield Manufacturing,2020-09-26,538.18,D,-0.2359265237170345
Ironwood Aerospace,2022-02-22,759.5,R,0.23918635548065395
Cobalt Holdings,2021-06-08,674.0,D,-0.34637523032738454
Crescent Automotive,2011-08-18,377.62,D,-0.7791419463933508
Vector Automotive,2024-01-13,1422.14,R,-0.2194167350229036
Evercrest Systems,2019-09-08,2129.18,D,-0.6911643501317529
Summit Technologies,2015-01-15,785.82,D,-0.6074794771416165
Omega Health,2021-06-06,672.1,D,-0.17762111751192633
Millennium Retail Group,2015-06-01,3731.75,D,-0.26308908144152243
United Semiconductor,2023-06-15,1092.56,R,0.7031948302175441
Pioneer Energy,2013-04-07,1409.04,R,0.11750752865586686
Horizon Capital,2020-06-02,847.04,D,-0.5446174747209411
TerraLine Logistics,2022-01-03,2251.06,D,-0.7679229314410365
United Semiconductor,2023-03-23,1121.45,R,0.7031948302175441
Vanguard Networks,2022-11-16,1893.25,D,-0.7441456161534608
Aurora Networks,2017-09-06,418.86,D,-0.5046547262203107
NovaBridge Partners,2016-01-07,1353.96,D,-0.5350259359541526
Orbit Semiconductor,2017-01-08,651.33,R,0.3656188092303535
Orbit Semiconductor,2017-10-26,3383.96,D,0.3656188092303535
Brightline Capital,2016-03-31,594.82,D,-0.7954508682253574
Skyline Retail,2023-10-02,1409.59,D,-0.22364750236744266
Millennium Retail Group,2014-04-06,3514.18,D,-0.26308908144152243
Titan Aerospace,2014-08-02,1941.24,D,0.30257157452147504
Paramount Systems,2016-07-15,1127.05,D,-0.6533450784599586
Zenith Industries,2017-07-26,1512.45,R,-0.3067997146495536
Oakstone Industries,2018-10-14,1987.87,D,-0.4462512983276463
EaglePeak Aerospace,2017-08-28,2864.46,R,0.6649897912920661
Crescent Automotive,2018-10-26,788.47,D,-0.7791419463933508
Apex Systems,2021-02-07,1813.06,R,-0.3524012410794814
Mosaic Consumer Goods,2021-06-19,1540.81,D,0.08298082509351284
Vector Automotive,2012-06-04,1482.37,D,-0.2194167350229036
EaglePeak Aerospace,2012-10-03,844.85,R,0.6649897912920661
Evercrest Systems,2012-02-25,1151.1,D,-0.6911643501317529
Orbit Semiconductor,2024-10-23,996.27,D,0.3656188092303535
Vector Automotive,2015-05-26,1585.03,R,-0.2194167350229036
SilverRock Solutions,2022-05-25,1810.57,R,-0.34508089355433375
Cypress Health,2017-02-07,429.58,D,-0.1277995867856065
Aspire Automotive,2013-08-06,433.08,R,-0.35502088901491985
Frontier Semiconductor,2015-07-10,1676.77,R,0.5736896411960379
Cobalt Holdings,2013-11-22,495.94,D,-0.34637523032738454
Arclight Manufacturing,2016-12-02,590.3,D,-0.6856182543666501
Falcon Semiconductor,2014-10-15,1333.08,R,0.16770146378342482
SilverRock Solutions,2018-08-16,841.68,R,-0.34508089355433375
Cobalt Holdings,2016-02-04,801.35,D,-0.34637523032738454
Ironwood Aerospace,2021-10-02,1044.82,D,0.23918635548065395
Heritage Automotive,2019-12-02,1093.32,R,-0.3113024235082412
United Semiconductor,2013-10-11,3934.46,R,0.7031948302175441
NextWave Semiconductor,2016-02-24,649.53,R,0.3591266769818179
Redwood Partners,2020-07-14,2371.0,D,-0.41854096357774834
Pioneer Energy,2011-06-14,1358.92,D,0.11750752865586686
Highland Logistics,2019-10-15,923.13,D,-0.20675394355677812
BluePeak Technologies,2017-10-23,932.7,D,-0.7292989994131897
SilverRock Solutions,2013-07-19,2138.4,R,-0.34508089355433375
Northbridge Holdings,2021-11-28,1356.47,D,-0.6469534176374777
Paramount Systems,2011-01-29,445.75,D,-0.6533450784599586
Aspire Automotive,2023-10-21,1473.86,R,-0.35502088901491985
Vanguard Networks,2015-09-22,583.25,D,-0.7441456161534608
Highland Logistics,2014-03-04,511.38,R,-0.20675394355677812
SilverRock Solutions,2022-11-04,3561.43,D,-0.34508089355433375
TerraLine Logistics,2020-07-19,1647.1,D,-0.7679229314410365
Falcon Semiconductor,2014-05-20,211.17,D,0.16770146378342482
United Semiconductor,2012-10-13,1744.01,R,0.7031948302175441
Horizon Capital,2013-06-05,3400.75,D,-0.5446174747209411
NovaBridge Partners,2021-04-25,1114.59,D,-0.5350259359541526
Infinity Partners,2023-08-29,681.16,R,-0.2896112414347556
Vertex Energy,2020-03-15,2064.23,R,0.7556582113987458
Oakstone Industries,2023-08-05,1489.03,D,-0.4462512983276463
Aspire Automotive,2020-12-27,637.51,R,-0.35502088901491985
Titan Aerospace,2021-10-11,1367.46,D,0.30257157452147504
Mosaic Consumer Goods,2023-08-01,2499.77,D,0.08298082509351284
Vector Automotive,2021-09-28,3661.33,D,-0.2194167350229036
Orbit Semiconductor,2010-10-26,1104.96,R,0.3656188092303535
Ironwood Aerospace,2010-07-15,896.67,R,0.23918635548065395
Greenfield Manufacturing,2024-04-27,1608.73,D,-0.2359265237170345
Aspire Automotive,2016-10-09,2573.04,R,-0.35502088901491985
GoldenGate Networks,2020-06-17,950.82,D,-0.5643838184211613
Equinox Manufacturing,2019-04-30,2580.1,D,-0.6370463795472789
Liberty Capital,2012-04-09,336.14,D,-0.6437524832958241
Riverstone Technologies,2024-08-27,151.31,R,-0.23339868032552136
Everton Technologies,2021-06-30,1316.63,D,-0.37360829603310824
Quantum Systems,2014-05-04,1055.64,D,-0.41357155810874113
Brightline Capital,2016-01-18,251.7,D,-0.7954508682253574
Liberty Capital,2010-07-17,541.65,R,-0.6437524832958241
Highland Logistics,2023-12-12,2130.68,D,-0.20675394355677812
Greenfield Manufacturing,2012-10-07,359.05,R,-0.2359265237170345
Millennium Retail Group,2010-10-24,1029.24,D,-0.26308908144152243
NorthStar Retail Group,2011-07-06,2065.69,D,-0.21768137947876254
Crescent Automotive,2019-11-13,711.98,D,-0.7791419463933508
BluePeak Technologies,2014-05-28,791.52,D,-0.7292989994131897
Frontier Semiconductor,2010-12-27,776.39,R,0.5736896411960379
Brightline Capital,2014-05-06,513.96,R,-0.7954508682253574
Sapphire Energy,2022-09-29,2447.69,D,0.16492209036610356
Skyline Retail,2014-11-30,3948.99,D,-0.22364750236744266
Mosaic Consumer Goods,2012-07-24,321.64,D,0.08298082509351284
Frontier Semiconductor,2018-05-07,1938.13,R,0.5736896411960379
Cobalt Holdings,2022-04-16,4008.51,D,-0.34637523032738454
Millennium Retail Group,2017-04-28,2414.01,D,-0.26308908144152243
AmeriCore Energy,2021-08-31,2370.66,R,0.7811810347855594
Titan Aerospace,2015-01-28,3261.22,R,0.30257157452147504
SummitLine Logistics,2021-05-31,1064.57,R,-0.6131155245656207
Brightline Capital,2023-04-10,1724.05,D,-0.7954508682253574
Brightline Capital,2022-06-13,209.71,D,-0.7954508682253574
SilverRock Solutions,2012-03-18,1042.56,D,-0.34508089355433375
Vanguard Networks,2019-05-28,578.82,D,-0.7441456161534608
Vector Automotive,2011-06-28,799.67,R,-0.2194167350229036
Horizon Capital,2019-09-11,2510.81,D,-0.5446174747209411
Crescent Automotive,2018-04-23,2597.37,D,-0.7791419463933508
Atlas Health,2014-10-20,2568.57,R,-0.3304489338964671
GoldenGate Networks,2013-09-12,720.3,D,-0.5643838184211613
Heritage Automotive,2011-11-10,785.95,R,-0.3113024235082412
Sterling Logistics,2012-01-27,1206.59,R,-0.17547430260660823
Orbit Semiconductor,2011-02-25,3136.95,D,0.3656188092303535
Apex Systems,2018-03-24,496.71,D,-0.3524012410794814
Titan Aerospace,2022-10-30,2019.27,D,0.30257157452147504
Frontier Semiconductor,2010-11-16,2217.92,R,0.5736896411960379
PrimeHealth Corporation,2016-07-15,1079.44,R,0.09481580189139682
Centurion Capital,2013-02-09,290.56,D,-0.39585349832026656
Harbor Retail Group,2021-07-19,1812.08,R,0.18917697133120992
Sterling Logistics,2018-10-28,690.17,D,-0.17547430260660823
Cobalt Holdings,2020-02-24,508.84,D,-0.34637523032738454
Cypress Health,2018-12-30,560.63,D,-0.1277995867856065
Sapphire Energy,2015-05-26,780.53,D,0.16492209036610356
Mosaic Consumer Goods,2012-06-01,1235.64,R,0.08298082509351284
Highland Logistics,2017-06-18,1592.14,R,-0.20675394355677812
Vanguard Networks,2019-03-12,599.44,D,-0.7441456161534608
Atlas Health,2023-03-08,2029.19,D,-0.3304489338964671
Brightline Capital,2010-10-05,565.88,D,-0.7954508682253574
Evercrest Systems,2021-02-28,760.63,D,-0.6911643501317529
Mosaic Consumer Goods,2017-04-04,718.21,D,0.08298082509351284
Highland Logistics,2022-09-16,957.1,R,-0.20675394355677812
Everton Technologies,2020-12-02,2790.09,D,-0.37360829603310824
Millennium Retail Group,2016-03-26,498.59,D,-0.26308908144152243
Arclight Manufacturing,2017-09-10,436.19,D,-0.6856182543666501
Paramount Systems,2021-03-28,881.51,D,-0.6533450784599586
BlueRiver Manufacturing,2021-04-29,608.36,D,-0.7814248212212955
Longview Energy,2019-10-04,1553.52,R,0.5124859787131362
Horizon Capital,2023-04-04,2125.13,D,-0.5446174747209411
Quantum Systems,2023-08-27,911.19,R,-0.41357155810874113
Vector Automotive,2020-01-29,637.46,R,-0.2194167350229036
Skyline Retail,2015-02-23,1326.04,R,-0.22364750236744266
NorthStar Retail Group,2021-11-26,733.71,D,-0.21768137947876254
SilverRock Solutions,2018-11-27,2938.25,R,-0.34508089355433375
Apex Systems,2022-04-05,253.45,D,-0.3524012410794814
Sapphire Energy,2023-06-19,4969.73,R,0.16492209036610356
NorthStar Retail Group,2012-08-07,1439.23,R,-0.21768137947876254
Cobalt Holdings,2014-06-29,697.52,R,-0.34637523032738454
Apex Systems,2015-10-08,469.79,D,-0.3524012410794814
Sapphire Energy,2018-02-08,791.46,R,0.16492209036610356
Sterling Logistics,2011-09-17,2074.05,D,-0.17547430260660823
Crescent Automotive,2016-01-22,266.91,D,-0.7791419463933508
Oakstone Industries,2021-12-28,1026.0,R,-0.4462512983276463
Mosaic Consumer Goods,2011-11-14,1034.41,R,0.08298082509351284
Cypress Health,2014-03-31,822.28,D,-0.1277995867856065
NovaBridge Partners,2021-09-16,592.04,D,-0.5350259359541526
SummitLine Logistics,2017-08-18,1765.87,D,-0.6131155245656207
Cobalt Holdings,2021-06-29,1546.82,D,-0.34637523032738454
Horizon Capital,2024-04-19,715.86,D,-0.5446174747209411
EaglePeak Aerospace,2015-02-01,1508.43,R,0.6649897912920661
Vertex Energy,2020-04-08,2923.7,R,0.7556582113987458
Mountain Ridge Industries,2010-10-26,227.19,R,-0.12995084945525315
Highland Logistics,2024-11-27,1195.92,R,-0.20675394355677812
Orbit Semiconductor,2010-03-02,505.8,R,0.3656188092303535
Greenfield Manufacturing,2012-08-12,1421.05,D,-0.2359265237170345
PrimeHealth Corporation,2017-08-23,189.2,R,0.09481580189139682
Atlas Health,2019-07-19,796.85,D,-0.3304489338964671
Riverstone Technologies,2013-06-07,3930.22,R,-0.23339868032552136
Longview Energy,2021-11-28,978.35,R,0.5124859787131362
Evercrest Systems,2010-07-06,789.47,R,-0.6911643501317529
Pioneer Energy,2013-01-30,535.01,D,0.11750752865586686
Orbit Semiconductor,2012-07-17,1252.43,R,0.3656188092303535
Sterling Logistics,2012-10-10,1758.31,D,-0.17547430260660823
Oakstone Industries,2011-02-07,1220.72,D,-0.4462512983276463
Longview Energy,2011-10-15,3931.09,R,0.5124859787131362
Paramount Systems,2024-10-03,1979.29,D,-0.6533450784599586
Brightline Capital,2016-12-30,206.08,R,-0.7954508682253574
Arclight Manufacturing,2011-03-03,526.83,D,-0.6856182543666501
Aurora Networks,2012-05-25,4062.83,R,-0.5046547262203107
Infinity Partners,2022-02-26,1034.99,D,-0.2896112414347556
Sterling Logistics,2015-07-22,1406.18,R,-0.17547430260660823
Frontier Semiconductor,2010-05-18,1435.04,R,0.5736896411960379
EaglePeak Aerospace,2021-06-07,1481.7,R,0.6649897912920661
Redwood Partners,2014-03-17,291.28,D,-0.41854096357774834
MetroTech Solutions,2024-12-16,560.79,D,-0.28918774931432745
Mountain Ridge Industries,2019-01-27,1153.87,R,-0.12995084945525315
PrimeHealth Corporation,2023-10-29,1247.31,R,0.09481580189139682
Cobalt Holdings,2023-07-30,1530.75,D,-0.34637523032738454
MetroTech Solutions,2015-09-04,353.96,R,-0.28918774931432745
Vanguard Networks,2012-09-09,381.72,D,-0.7441456161534608
NorthStar Retail Group,2015-08-10,1524.68,R,-0.21768137947876254
Omega Health,2014-11-22,469.3,R,-0.17762111751192633
Longview Energy,2012-06-26,1418.32,D,0.5124859787131362
Vertex Energy,2020-01-11,936.38,R,0.7556582113987458
Crescent Automotive,2018-04-09,1343.0,D,-0.7791419463933508
Greenfield Manufacturing,2016-03-03,810.22,D,-0.2359265237170345
Highland Logistics,2018-09-24,1813.5,D,-0.20675394355677812
Cypress Health,2016-02-22,599.2,R,-0.1277995867856065
Falcon Semiconductor,2016-06-26,412.76,R,0.16770146378342482
Ironwood Aerospace,2016-04-07,1868.47,R,0.23918635548065395
Oakstone Industries,2017-10-20,1195.04,D,-0.4462512983276463
Brightline Capital,2016-03-07,902.13,D,-0.7954508682253574
Vertex Energy,2014-12-12,937.77,R,0.7556582113987458
Highland Logistics,2022-05-17,1073.12,D,-0.20675394355677812
UrbanStar Retail,2018-04-26,612.39,D,0.02898247316376057
AmeriCore Energy,2019-01-21,1128.55,R,0.7811810347855594
Pioneer Energy,2015-06-25,2080.36,R,0.11750752865586686
Aspire Automotive,2014-02-07,3577.81,D,-0.35502088901491985
Zenith Industries,2010-06-10,1141.36,D,-0.3067997146495536
Greenfield Manufacturing,2017-08-27,1916.23,D,-0.2359265237170345
Apex Systems,2019-07-13,269.32,D,-0.3524012410794814
Skyline Retail,2019-01-06,778.91,D,-0.22364750236744266
NorthStar Retail Group,2012-02-27,1450.66,D,-0.21768137947876254
Mountain Ridge Industries,2011-01-11,676.53,D,-0.12995084945525315
Cobalt Holdings,2017-06-24,1048.08,D,-0.34637523032738454
MetroTech Solutions,2013-01-27,340.29,R,-0.28918774931432745
SilverRock Solutions,2021-12-31,392.36,D,-0.34508089355433375
Omega Health,2014-10-24,1010.72,R,-0.17762111751192633
Ironwood Aerospace,2016-04-16,1235.76,R,0.23918635548065395
TerraLine Logistics,2017-08-23,1016.21,D,-0.7679229314410365
Orbit Semiconductor,2024-02-10,2332.83,R,0.3656188092303535
Aspire Automotive,2013-09-30,1053.8,R,-0.35502088901491985
NorthStar Retail Group,2019-03-28,216.85,D,-0.21768137947876254
Millennium Retail Group,2022-11-29,335.6,R,-0.26308908144152243
Longview Energy,2013-09-07,2176.79,R,0.5124859787131362
Pioneer Energy,2013-07-09,1406.43,D,0.11750752865586686
SilverRock Solutions,2014-09-09,1551.71,D,-0.34508089355433375
BlueRiver Manufacturing,2015-01-23,954.38,D,-0.7814248212212955
Centurion Capital,2016-09-20,422.94,R,-0.39585349832026656
Vertex Energy,2010-03-04,2739.09,R,0.7556582113987458
Northbridge Holdings,2019-06-06,1243.51,D,-0.6469534176374777
Sterling Logistics,2013-09-23,915.59,R,-0.17547430260660823
Longview Energy,2023-04-10,1594.12,R,0.5124859787131362
Infinity Partners,2020-02-29,1278.54,D,-0.2896112414347556
Northbridge Holdings,2014-11-02,1530.67,D,-0.6469534176374777
Highland Logistics,2016-04-06,2098.61,D,-0.20675394355677812
Greenfield Manufacturing,2010-06-14,302.58,R,-0.2359265237170345
BlueRiver Manufacturing,2012-01-16,794.91,D,-0.7814248212212955
Everton Technologies,2011-03-17,1648.95,D,-0.37360829603310824
SilverRock Solutions,2022-07-25,1453.94,D,-0.34508089355433375
EaglePeak Aerospace,2013-01-12,2048.76,R,0.6649897912920661
Liberty Capital,2012-11-01,1165.62,D,-0.6437524832958241
Redwood Partners,2011-08-31,1125.19,D,-0.41854096357774834
Redwood Partners,2012-02-06,382.62,D,-0.41854096357774834
Skyline Retail,2010-12-27,1543.3,R,-0.22364750236744266
Falcon Semiconductor,2014-12-12,1757.55,R,0.16770146378342482
Vanguard Networks,2011-08-09,1161.51,D,-0.7441456161534608
Falcon Semiconductor,2017-03-21,1358.26,D,0.16770146378342482
Mosaic Consumer Goods,2010-09-03,188.99,R,0.08298082509351284
Summit Technologies,2010-07-18,4898.54,D,-0.6074794771416165
Everton Technologies,2024-04-15,477.01,D,-0.37360829603310824
PrimeHealth Corporation,2012-03-15,1693.77,R,0.09481580189139682
Highland Logistics,2024-02-24,1181.55,D,-0.20675394355677812
Omega Health,2012-08-01,825.81,D,-0.17762111751192633
NextWave Semiconductor,2015-11-07,2222.9,D,0.3591266769818179
Northbridge Holdings,2022-12-05,2806.79,R,-0.6469534176374777
NovaBridge Partners,2011-09-20,974.02,D,-0.5350259359541526
Crescent Automotive,2010-12-14,2067.31,D,-0.7791419463933508
Greenfield Manufacturing,2010-08-04,413.08,R,-0.2359265237170345
Summit Technologies,2017-08-29,687.7,D,-0.6074794771416165
Frontier Semiconductor,2019-02-02,1142.08,R,0.5736896411960379
Mountain Ridge Industries,2016-01-17,755.26,D,-0.12995084945525315
UrbanStar Retail,2018-03-19,582.64,R,0.02898247316376057
Brightline Capital,2010-12-10,1897.23,D,-0.7954508682253574
Quantum Systems,2014-08-31,1285.03,D,-0.41357155810874113
Redwood Partners,2023-11-12,2886.67,D,-0.41854096357774834
Cypress Health,2011-06-13,2049.83,D,-0.1277995867856065
Liberty Capital,2012-10-14,498.75,D,-0.6437524832958241
Millennium Retail Group,2024-01-12,1136.09,D,-0.26308908144152243
BluePeak Technologies,2020-08-16,1846.62,D,-0.7292989994131897
MetroTech Solutions,2014-03-18,754.55,D,-0.28918774931432745
AmeriCore Energy,2011-06-21,935.48,R,0.7811810347855594
Crescent Automotive,2013-10-31,1343.28,D,-0.7791419463933508
AmeriCore Energy,2019-02-22,2334.15,R,0.7811810347855594
Brightline Capital,2012-12-05,643.86,D,-0.7954508682253574
Evercrest Systems,2012-05-02,2271.19,D,-0.6911643501317529
Brightline Capital,2010-12-01,630.26,D,-0.7954508682253574
SummitLine Logistics,2010-12-13,885.49,D,-0.6131155245656207
Oakstone Industries,2017-08-16,402.07,D,-0.4462512983276463
NovaBridge Partners,2019-03-23,492.24,D,-0.5350259359541526
NextWave Semiconductor,2021-11-23,606.28,R,0.3591266769818179
UrbanStar Retail,2021-03-27,590.49,D,0.02898247316376057
AmeriCore Energy,2013-01-04,2608.3,R,0.7811810347855594
Mosaic Consumer Goods,2017-08-16,2265.76,D,0.08298082509351284
Summit Technologies,2014-11-06,800.32,D,-0.6074794771416165
Ironwood Aerospace,2021-10-20,1777.27,D,0.23918635548065395
Skyline Retail,2012-04-17,4533.64,D,-0.22364750236744266
Frontier Semiconductor,2012-10-10,1412.47,R,0.5736896411960379
NovaBridge Partners,2024-06-11,1085.4,R,-0.5350259359541526
Greenfield Manufacturing,2010-10-12,431.57,D,-0.2359265237170345
BluePeak Technologies,2017-05-06,2045.8,R,-0.7292989994131897
Mountain Ridge Industries,2021-10-06,3631.61,R,-0.12995084945525315
Infinity Partners,2010-08-06,2047.77,R,-0.2896112414347556
Paramount Systems,2015-06-26,5127.75,R,-0.6533450784599586
Vanguard Networks,2015-12-02,980.39,D,-0.7441456161534608
BluePeak Technologies,2010-01-26,1740.31,D,-0.7292989994131897
Millennium Retail Group,2017-10-03,636.56,D,-0.26308908144152243
Aurora Networks,2012-10-06,303.68,D,-0.5046547262203107
Everton Technologies,2022-02-04,1733.31,D,-0.37360829603310824
Riverstone Technologies,2010-08-05,865.54,R,-0.23339868032552136
PrimeHealth Corporation,2014-11-02,1718.16,R,0.09481580189139682
United Semiconductor,2016-03-02,628.61,R,0.7031948302175441
Heritage Automotive,2010-10-26,554.25,R,-0.3113024235082412
Vanguard Networks,2022-01-09,1507.93,D,-0.7441456161534608
Sapphire Energy,2010-06-24,460.8,D,0.16492209036610356
Horizon Capital,2011-01-15,86.41,D,-0.5446174747209411
AmeriCore Energy,2023-08-17,611.01,R,0.7811810347855594
Frontier Semiconductor,2020-03-21,1833.72,D,0.5736896411960379
Harbor Retail Group,2013-12-08,1520.96,R,0.18917697133120992
Horizon Capital,2019-08-22,2300.71,R,-0.5446174747209411
UrbanStar Retail,2024-01-19,1006.35,D,0.02898247316376057
Cobalt Holdings,2013-03-14,2664.34,D,-0.34637523032738454
Centurion Capital,2010-11-27,1141.33,R,-0.39585349832026656
Atlas Health,2014-05-09,1164.95,R,-0.3304489338964671
Heritage Automotive,2022-05-05,1008.91,R,-0.3113024235082412
Omega Health,2012-10-13,657.86,D,-0.17762111751192633
Liberty Capital,2010-05-28,663.01,R,-0.6437524832958241
United Semiconductor,2023-01-11,4043.69,R,0.7031948302175441
Equinox Manufacturing,2010-05-10,605.51,R,-0.6370463795472789
Equinox Manufacturing,2022-11-06,211.19,D,-0.6370463795472789
Centurion Capital,2018-06-07,851.1,D,-0.39585349832026656
Everton Technologies,2023-07-25,634.87,D,-0.37360829603310824
Aspire Automotive,2020-03-26,2585.32,D,-0.35502088901491985
Frontier Semiconductor,2018-03-19,646.58,D,0.5736896411960379
PrimeHealth Corporation,2017-05-30,2257.22,R,0.09481580189139682
Vector Automotive,2016-12-11,346.96,R,-0.2194167350229036
Vector Automotive,2014-02-24,677.31,D,-0.2194167350229036
Vertex Energy,2013-03-03,1888.54,R,0.7556582113987458
Horizon Capital,2011-03-25,844.43,D,-0.5446174747209411
Sapphire Energy,2020-04-03,346.68,D,0.16492209036610356
Aspire Automotive,2013-11-25,4078.02,D,-0.35502088901491985
Omega Health,2017-04-22,478.08,R,-0.17762111751192633
NorthStar Retail Group,2021-09-01,4447.73,D,-0.21768137947876254
Aurora Networks,2016-05-21,1181.74,D,-0.5046547262203107
SummitLine Logistics,2024-11-19,800.49,R,-0.6131155245656207
Atlas Health,2019-09-27,3339.92,D,-0.3304489338964671
Heritage Automotive,2019-02-10,5966.78,R,-0.3113024235082412
PrimeHealth Corporation,2024-10-28,1167.5,D,0.09481580189139682
Longview Energy,2017-09-24,1264.35,R,0.5124859787131362
Sapphire Energy,2022-08-08,2098.86,D,0.16492209036610356
EaglePeak Aerospace,2017-07-22,1877.29,R,0.6649897912920661
Orbit Semiconductor,2015-12-28,758.46,D,0.3656188092303535
GoldenGate Networks,2016-12-20,237.67,D,-0.5643838184211613
Cobalt Holdings,2010-08-30,1284.03,D,-0.34637523032738454
Vertex Energy,2010-02-23,1060.62,D,0.7556582113987458
NorthStar Retail Group,2018-09-25,963.35,D,-0.21768137947876254
Harbor Retail Group,2011-10-28,925.4,D,0.18917697133120992
NorthStar Retail Group,2010-07-28,2348.51,R,-0.21768137947876254
Liberty Capital,2024-07-16,935.64,D,-0.6437524832958241
Longview Energy,2017-03-17,1297.58,R,0.5124859787131362
Liberty Capital,2019-12-11,1345.26,D,-0.6437524832958241
TerraLine Logistics,2014-12-12,224.8,D,-0.7679229314410365
Zenith Industries,2019-12-06,347.37,R,-0.3067997146495536
United Semiconductor,2020-01-27,265.21,R,0.7031948302175441
Millennium Retail Group,2012-12-01,469.45,R,-0.26308908144152243
United Semiconductor,2024-01-11,1961.19,R,0.7031948302175441
SummitLine Logistics,2013-08-11,947.97,D,-0.6131155245656207
Vector Automotive,2015-11-29,1862.11,D,-0.2194167350229036
Pioneer Energy,2011-07-05,1166.47,R,0.11750752865586686
BlueRiver Manufacturing,2012-12-22,1031.92,D,-0.7814248212212955
Orbit Semiconductor,2017-09-25,1497.3,R,0.3656188092303535
Arclight Manufacturing,2011-10-11,390.72,D,-0.6856182543666501
Mosaic Consumer Goods,2023-07-11,700.09,R,0.08298082509351284
Northbridge Holdings,2017-02-16,574.49,R,-0.6469534176374777
Aurora Networks,2018-06-08,11495.53,D,-0.5046547262203107
Atlas Health,2022-03-25,613.6,R,-0.3304489338964671
Riverstone Technologies,2013-10-13,1645.21,R,-0.23339868032552136
Everton Technologies,2012-02-14,846.85,D,-0.37360829603310824
Falcon Semiconductor,2012-04-12,683.62,R,0.16770146378342482
GoldenGate Networks,2024-12-19,887.71,D,-0.5643838184211613
UrbanStar Retail,2022-01-10,1036.49,R,0.02898247316376057
SummitLine Logistics,2019-06-02,1350.81,R,-0.6131155245656207
Northbridge Holdings,2023-08-09,355.11,D,-0.6469534176374777
Highland Logistics,2022-02-05,657.5,R,-0.20675394355677812
Redwood Partners,2017-02-21,1822.61,D,-0.41854096357774834
Sapphire Energy,2010-07-07,297.79,R,0.16492209036610356
MetroTech Solutions,2019-08-13,1601.88,D,-0.28918774931432745
GoldenGate Networks,2011-05-16,3250.88,D,-0.5643838184211613
GoldenGate Networks,2021-08-16,1050.91,D,-0.5643838184211613
Horizon Capital,2013-03-22,1824.73,D,-0.5446174747209411
Frontier Semiconductor,2017-11-01,659.07,R,0.5736896411960379
Greenfield Manufacturing,2024-10-17,483.4,D,-0.2359265237170345
Evercrest Systems,2011-08-20,958.76,R,-0.6911643501317529
AmeriCore Energy,2018-12-04,1243.99,R,0.7811810347855594
Mosaic Consumer Goods,2021-12-25,3769.02,D,0.08298082509351284
Horizon Capital,2022-02-25,471.35,D,-0.5446174747209411
Riverstone Technologies,2015-08-17,823.96,D,-0.23339868032552136
UrbanStar Retail,2023-08-02,1413.55,D,0.02898247316376057
Heritage Automotive,2011-06-25,1473.13,D,-0.3113024235082412
